item_name,unit_price
16' Cattle Panel,32.99
Cattle panel screws (350ct box),35
1x4 Cedar Boards,9.98
1x4 CedarTone Boards,5.39
1x4 Pressure Treated Boards,4.88
1x4 x 8' Cedar Trim,9.98
1x4 x 8' CedarTone Trim,5.39
1x4 x 8' Trim,4.88
1x6x12 Cedar Boards,29.79
1x6x12 CedarTone Boards,17.69
1x6x12 Pressure Treated Boards,10.59
1x6x16 Poplar Rails,16.00
1x6x16 Poplar Verticals,16.00
1x6x8,6.88
1x6x8 Cedar,18.33
1x6x8 CedarTone,9.49
"2"" Nails 2000ct Hot-Dipped Galvanized Ring Shank Nails",100
"2"" Nails 1000ct Stainless Steel Ring Shank Nails",130
2x2 8' Cedar S4S,9.99
2x2 8' CedarTone,5.69
2x2 8' Pressure Treated,5.08
2x2x8,5.08
2x2x8 Cedar,9.99
2x2x8 CedarTone,5.69
2x4 16' Cedar S4S Rails,27.49
2x4 16' CedarTone Rails,15.99
2x4 16' Pressure Treated Rails,14.38
2x4 8' Cedar S4S Rails,10.99
2x4 8' CedarTone Rails,7.89
2x4 8' Pressure Treated Rails,5.08
2x4 Treated,5.08
"3"" Deck Screws",40
"3"" screws 60 ct stainless steel",17.98
4x4 Post,
4x4 x 10' Cedar S4S Post,59.19
4x4 x 10' CedarTone Post,20.19
4x4 x 10' Pressure Treated Post,16.88
4x4 x 8' Cedar S4S Post,47.28
4x4 x 8' CedarTone Post,16.49
4x4 x 8' Post,11.28
4x8 Pressure Treated Lattice Panel,23.98
4x8 Cedar Lattice Panel,50.55
5/4x6x12 Cedar S4S Rails,29.79
5/4x6x12 CedarTone Rails,17.69
5/4x6x12 Cedar S4S Verticals,10.59
5/4x6x12 Pressure Treated Boards,10.59
6' Cedar Dog Ear Pickets,3.78
6' CedarTone Dog Ear Pickets,3.89
6' Pressure Treated Dog Ear Pickets,1.99
6x6 x 10' Cedar S4S Post,224.00
6x6 x 10' CedarTone Post,53.09
6x6 x 10' Pressure Treated Post,48.18
6x6 x 12' Cedar S4S Post,269.99
6x6 x 12' CedarTone Post,58.59
6x6 x 12' Pressure Treated Post,52.48
6x6 x 8' Cedar S4S Post,179.99
6x6 x 8' CedarTone Post,40.69
6x6 x 8' Pressure Treated Post,35.48
Arbor,700
Cedar pickets,3.78
Cedar S4S Gate Framing,11.99
Concrete 60lb Bag,4.27
Double gate kit,180
Gate Hinge Kit,90
Post caps,20
Split rail,
Split rail (CedarTone),
"CedarTone split rail posts (2 rail)",15.78
"CedarTone split rail line post (3 rail)",17.48
"CedarTone split rail corner post (3 rail)",17.48
"CedarTone split rail end post (3 rail)",17.48
"CedarTone split rail rails",18.99
Stainless screws,17.98
Staples,37.77
Wire mesh roll,69.99
