item_name,unit_price
"16' Cattle Panel",
"1x4 Cedar Boards",
"1x4 CedarTone Boards",
"1x4 Pressure Treated Boards",
"1x4 x 8' Cedar Trim",
"1x4 x 8' CedarTone Trim",
"1x4 x 8' Trim",
"1x6x12 Cedar Boards",
"1x6x12 CedarTone Boards",
"1x6x12 Pressure Treated Boards",
"1x6x16 Poplar Rails",
"1x6x16 Poplar Verticals",
"1x6x8",
"1x6x8 Cedar",
"1x6x8 CedarTone",
"2"" Nails 2000ct Hot-Dipped Galvanized Ring Shank Nails",
"2x2 8' Cedar S4S",
"2x2 8' CedarTone",
"2x2 8' Pressure Treated",
"2x2x8",
"2x2x8 Cedar",
"2x2x8 CedarTone",
"2x2x8 Rough Sawn Cedar",9.99
"2x4 16' Cedar S4S Rails",
"2x4 16' CedarTone Rails",
"2x4 16' Pressure Treated Rails",
"2x4 8' Cedar S4S Rails",
"2x4 8' CedarTone Rails",
"2x4 8' Pressure Treated Rails",
"2x4 Treated",
"3"" Deck Screws",
"3"" screws 60 ct stainless steel",
"4x4 Post",
"4x4 x 10' Cedar S4S Post",
"4x4 x 10' CedarTone Post",
"4x4 x 10' Post",
"4x4 x 8' Cedar S4S Post",
"4x4 x 8' CedarTone Post",
"4x4 x 8' Post",11.28
"4x8 Pressure Treated Lattice Panel",
"4x8 Cedar Lattice Panel",50.55
"5/4x6x12 Cedar S4S Rails",
"5/4x6x12 CedarTone Rails",17.69
"5/4x6x12 Cedar S4S Verticals",
"6' Cedar Dog Ear Pickets",
"6' CedarTone Dog Ear Pickets",
"6' Pressure Treated Dog Ear Pickets",
"6x6 x 10' Cedar S4S Post",
"6x6 x 10' CedarTone Post",
"6x6 x 10' Pressure Treated Post",
"6x6 x 12' Cedar S4S Post",
"6x6 x 12' CedarTone Post",
"6x6 x 12' Pressure Treated Post",
"6x6 x 8' Cedar S4S Post",
"6x6 x 8' CedarTone Post",
"6x6 x 8' Pressure Treated Post",
"Arbor",
"Cedar pickets",
"Cedar S4S Gate Framing",
"Rough Sawn Cedar Gate Framing",14.99
"Concrete 60lb Bag",
"Double gate kit",
"Gate Hinge Kit",
"Post caps",
"Split rail",
"Split rail (CedarTone)",
"CedarTone split rail posts (2 rail)",15.78
"CedarTone split rail line post (3 rail)",17.48
"CedarTone split rail corner post (3 rail)",17.48
"CedarTone split rail end post (3 rail)",17.48
"CedarTone split rail rails",18.99
"Stainless screws",
"Staples",
"Wire mesh roll",
